"X.0.012.6","X.0.012675675675675676","X0.024","X.0.0942105263157895","X0.6105068493150686","X11.725","X.0.018.3","X0.012.1","X0.026.3","X0.102","inactive"
"-0.015","-0.006337837837837839","-0.005","-0.0454736842105263","1.0495753424657537","7.091","-0.008","0.006","0.034","0.036","inactive"
"?","?","?","?","?","?","?","?","?","?","inactive"
"-0.015","-0.017675675675675673","0.038","-0.3547894736842103","0.2122328767123287","10.080","-0.015","0.017","0.037","0.098","inactive"
"-0.028","-0.04398648648648648","0.060","0.20723684210526302","1.0923287671232875","7.532","-0.055","-0.018","0.001","-0.005","inactive"
"-0.007","-0.008189189189189188","0.116","-0.5543947368421053","1.1046986301369865","18.019","-0.035","-0.008","0.033","0.109","inactive"
"-0.003","-0.0036621621621621596","0.127","-1.332342105263158","1.3859726027397263","19.778","-0.075","-0.007","0.039","0.111","inactive"
"-0.008","-0.010067567567567565","0.113","-0.060052631578947045","0.9733698630136984","16.754","-0.035","-0.008","0.031","0.106","inactive"
"-0.024","-0.005675675675675673","0.122","-0.9091315789473683","1.7173972602739727","19.462","-0.033","-0.006","0.036","0.110","inactive"
"-0.020","-0.03452702702702703","0.079","0.3507631578947368","1.3189452054794522","11.753","-0.052","-0.015","0.009","0.095","inactive"
"-0.034","-0.668972972972973","-1.878","-25.88086842105263","-10.343493150684932","-43.707","-1.866","-0.926","-0.254","-0.708","inactive"
"-0.015","-0.6587432432432433","-1.813","-25.72678947368422","-10.613657534246576","-43.790","-1.813","-0.898","-0.225","-0.666","inactive"
"-0.004","-0.006324324324324325","0.120","-1.3293421052631582","1.3452191780821916","19.242","-0.035","-0.011","0.034","0.107","inactive"
"-0.013","-0.021864864864864865","0.093","-0.06742105263157884","1.661232876712329","15.271","-0.045","-0.013","0.019","0.105","inactive"
"-0.005","-0.007337837837837835","0.120","-1.1678421052631578","1.5075616438356165","18.923","-0.033","-0.007","0.034","0.108","inactive"
"-0.106","-0.046310810810810815","-0.118","-1.7876315789473687","-0.4895068493150685","13.358","-0.093","-0.050","-0.074","-0.123","inactive"
"?","?","?","?","?","?","?","?","?","?","inactive"
"-0.229","-0.6597972972972972","-1.794","-25.55476315789474","-10.464547945205478","-41.751","-1.834","-0.856","-0.279","-0.664","active"
"-0.209","-0.7554324324324323","-1.766","-26.477447368421046","-11.275917808219178","-46.780","-1.819","-0.841","-0.284","-0.663","active"
"-0.310","-0.6772837837837838","-1.827","-26.34244736842105","-10.80749315068493","-45.314","-1.889","-0.841","-0.336","-0.686","active"
"-0.191","-0.6689729729729731","-1.856","-26.501105263157896","-10.223041095890414","-42.592","-1.913","-0.860","-0.348","-0.694","active"
